Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered
Alabama,US,33.98210918,-86.56790593,45,0,0
Tennessee,US,35.68938198,-83.92847788,75,3,0
Minnesota,US,44.03554215,-94.06699781,71,0,0
Mississippi,US,33.79696941,-90.87372121,120,10,0
Missouri,US,37.32449052,-90.02725304,4,0,0
South Dakota,US,42.98914167,-97.88592746,4,0,0
Illinois,US,38.88829622,-89.43534887,10,1,0
Idaho,US,48.29996017,-116.6017932,4,0,0
Idaho,US,43.38713372,-111.6161537,30,0,0
Arkansas,US,36.3084504,-93.09374925,4,0,0
Illinois,US,42.32359279,-88.82345779,268,13,0
Indiana,US,40.0509304,-86.46841646,249,31,0
Iowa,US,42.03657094,-93.9313999,41,0,0
Kentucky,US,38.97065142,-84.72615357,276,8,0
Missouri,US,38.99186229,-92.30723575,100,1,0
Nebraska,US,41.70759415,-98.06737183,3,0,0
West Virginia,US,38.01974191,-81.69888019,9,0,0
Texas,US,31.89978581,-97.63613524,6,0,0
Louisiana,US,32.67932307,-93.60460152,327,22,0
Virginia,US,37.55531756,-79.80982182,30,3,0
Colorado,US,40.09313619,-105.3546767,805,58,0
Idaho,US,48.76684761,-116.4630179,0,0,0
Kansas,US,37.85508555,-94.84865997,6,1,0
Kentucky,US,38.2054607,-84.21827874,8,1,0
Texas,US,33.44626922,-94.41834132,120,2,0
North Dakota,US,46.11285362,-103.5203343,1,0,0
Nebraska,US,42.22079243,-103.0878834,1,0,0
Kentucky,US,38.36176608,-82.68652187,38,3,0
Kentucky,US,37.62680923,-84.8633779,18,0,0
Kentucky,US,38.69158994,-84.08532444,9,0,0
Florida,US,29.95079741,-82.16611613,49,2,0
Pennsylvania,US,41.78869215,-76.51570822,41,2,0
Arkansas,US,33.46755808,-92.15980837,12,1,0
Tennessee,US,35.15739424,-84.857186,80,1,0
Michigan,US,41.91600556,-85.05929476,90,2,0
Georgia,US,31.19576557,-81.97743999,28,2,0
West Virginia,US,38.70036159,-80.72011184,2,0,0
Texas,US,29.18757369,-95.44563172,710,9,0
Texas,US,30.6636448,-96.30205577,301,18,0
Kentucky,US,37.52333168,-83.31959161,2,0,0
Kentucky,US,37.77377239,-86.42885017,14,0,0
Iowa,US,42.77461496,-92.31795937,62,5,0
Florida,US,28.29409504,-80.73091022,348,9,0
Texas,US,29.81008251,-103.2520326,1,0,0
Texas,US,34.53026962,-101.2084947,1,0,0
Massachusetts,US,41.79228404,-71.10872211,5440,297,0
Rhode Island,US,41.71018079,-71.28652315,172,0,0
Virginia,US,36.6163024,-82.16359122,3,0,0
Montana,US,46.33277565,-111.4955813,4,0,0
West Virginia,US,40.27367263,-80.57915332,3,0,0
South Dakota,US,44.36974375,-96.79079945,14,0,0
Georgia,US,30.83922642,-83.58303423,64,8,0
Texas,US,27.03103197,-98.21808402,1,0,0
New York,US,42.15903158,-75.81326086,383,28,0
Colorado,US,39.95998787,-105.0566324,204,20,0
Florida,US,26.15184651,-80.48725556,6057,267,0
Illinois,US,39.96209138,-90.75068024,9,0,0
Indiana,US,39.19605589,-86.22868909,29,1,0
Kansas,US,39.82652589,-95.56421698,1,0,0
Minnesota,US,44.24205652,-94.72562874,10,2,0
Ohio,US,38.93416837,-83.86788395,21,1,0
South Dakota,US,45.58994323,-98.35165355,154,0,0
Texas,US,31.77430356,-98.99907113,51,7,0
Wisconsin,US,44.4526553,-88.00411844,1999,21,0
South Dakota,US,43.71756379,-99.08118954,0,0,0
North Carolina,US,34.070565,-78.22814204,51,2,0
Virginia,US,36.76366949,-77.8593436,20,0,0
Georgia,US,32.00979311,-81.44002948,61,4,0
Oklahoma,US,33.96472458,-96.25903472,12,1,0
Iowa,US,42.4709188,-91.83510825,24,0,0
Missouri,US,39.65816401,-94.80138942,496,2,0
Virginia,US,37.26818323,-82.03749726,16,0,0
Virginia,US,37.57242268,-78.52518834,348,2,0
Pennsylvania,US,40.33682119,-75.10836643,4248,395,0
Iowa,US,42.73545875,-95.15100162,74,0,0
Virginia,US,37.73484642,-79.35296097,8,0,0
Nebraska,US,40.85486962,-99.07500296,130,1,0
South Dakota,US,44.07657829,-99.20814467,1,0,0
Wisconsin,US,44.37835084,-91.75332578,5,1,0
Kentucky,US,37.97162523,-85.68955617,89,4,0
Georgia,US,32.39577406,-81.74811421,45,2,0
Alabama,US,32.10030533,-85.71265535,28,1,0
North Carolina,US,35.61113393,-82.53305,116,4,0
Illinois,US,41.40385234,-89.5283051,15,1,0
Georgia,US,33.05917989,-81.99928721,112,3,0
North Carolina,US,35.74989637,-81.70755735,175,14,0
North Dakota,US,48.79094471,-102.5182117,5,0,0
North Dakota,US,46.97847375,-100.4645214,107,0,0
Texas,US,30.49273808,-96.62158484,17,0,0
New Jersey,US,39.87681124,-74.66927768,3782,228,0
Texas,US,30.78801353,-98.181887,28,0,0
Wisconsin,US,45.86303537,-92.36711412,1,1,0
Nebraska,US,41.85056773,-96.32605633,5,0,0
Alabama,US,31.75300095,-86.68057478,249,8,0
Iowa,US,42.73172833,-92.79015971,13,0,0
Kansas,US,37.78134351,-96.83878537,14,0,0
Kentucky,US,37.20946153,-86.68748787,205,6,0
Missouri,US,36.71462476,-90.40421163,27,0,0
Nebraska,US,41.22703692,-97.13106306,27,0,0
Ohio,US,39.44012838,-84.57388716,542,16,0
